time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.10367213151e-07,-5.87313205569e-08,11.9992180217,6.28306394672,0.000249821170292,0.0,-1.83257897877e-05,-6.7293155013e-06,-0.0260661412422,-0.00641038345901,0.0114065549212,0.0,393.63180674352463,394.68579185663276,395.90398729087536,395.31383543615135
0.12000000000000001,-9.25083463881e-06,-3.9012371165e-06,12.0005917989,6.28312507722,0.000456872713354,0.0,-0.000337512857345,-0.000134676358679,0.0718573318403,0.0128016523766,-0.0214647891313,0.0,438.16844514620664,435.4277385750599,434.8738506025621,436.47981105228536
0.18,-3.37724322916e-05,-1.04553437525e-05,12.0069249886,0.000495941360867,6.28199505223,0.0,-0.000341173372124,-1.83293469865e-05,0.139242559489,0.00105538755789,-0.0434535671086,0.0,425.4356621478269,423.54877073126335,428.87066924426915,427.8718952192243
0.23999999999999996,-1.94137233125e-05,-7.51773203686e-07,12.0184139768,6.32573512593e-05,6.27904343119,0.0,0.00110142648317,0.000333306015636,0.243705893841,-0.0339652698033,-0.0642852850316,0.0,440.05185750800814,438.32267592264924,438.9564271341442,436.04109409150067
0.3,0.000164436887668,1.15141017147e-05,12.0396565236,6.28100946255,6.2753100552,0.0,0.00548121241193,-0.000179542362483,0.464312280401,-0.0450459767076,-0.0583896846907,0.0,473.7869806042242,474.2374287345937,473.848893517136,472.9958593952191
0.36000000000000004,0.000676056058891,-5.65988364637e-05,12.0714085734,6.27860728747,6.27249274957,0.0,0.0119016636144,-0.00236070656384,0.594026558196,-0.0315394414595,-0.0305507244069,0.0,444.31365933946034,446.5882850901986,446.9653965428632,448.06377284756417
0.4200000000000001,0.00164978628832,-0.000314284205087,12.1129185803,6.27655768252,6.27054849489,0.0,0.0207737551257,-0.00645645210936,0.789521686835,-0.0399961414599,-0.0363951752591,0.0,466.8831413517051,466.42664800489587,466.92981639001147,466.2692748834203
0.48000000000000015,0.00316585862996,-0.000847827791329,12.1633009072,6.2737619915,6.26809293522,0.0,0.0299956449936,-0.0115875660539,0.889810836044,-0.0649940826601,-0.052018891747,0.0,438.47593038655896,437.17524736462445,438.5526151314556,436.47006439352026
0.5400000000000001,0.00527229882113,-0.00174158679651,12.2186106834,6.27001855925,6.2651255836,0.0,0.040512049637,-0.0185728211505,0.953787880165,-0.0576368206107,-0.0447694549532,0.0,425.7930321958871,426.41103792159686,425.9375632746274,426.5632115277456
0.6000000000000002,0.00809098617752,-0.0031448502228,12.2790979318,6.26623817853,6.26269478297,0.0,0.0537054113938,-0.0285718481485,1.06234801932,-0.0767992666953,-0.033131852643,0.0,440.63306251836906,441.5930660805938,440.88596706689486,439.29699591440254
0.6600000000000003,0.0117432650016,-0.00522618801505,12.3457927216,6.26146205057,6.26078282383,0.0,0.068233414933,-0.0412810677102,1.160702901,-0.0858932776523,-0.0294478270188,0.0,437.39439313342865,437.70067160967955,438.05809128499857,437.29607099476124
0.7200000000000003,0.0163773240886,-0.00824189725423,12.4215309109,6.25621525569,6.25903316809,0.0,0.0864361681382,-0.0598469092756,1.36366324589,-0.0907473233479,-0.0285933113126,0.0,468.9786498735933,469.0448078703651,470.97638970029305,470.5949705916792
0.7800000000000004,0.022172089342,-0.0125284008316,12.5105562743,6.25089877684,6.2569096286,0.0,0.106943548192,-0.0836876373052,1.60351725442,-0.084642674601,-0.0546397671884,0.0,482.86077947405494,480.8914462110146,480.3036878319862,480.7604962003824
0.8400000000000004,0.029287078382,-0.0184129351529,12.6150770513,6.24554731589,6.25321081728,0.0,0.130650575954,-0.113114861109,1.88005811426,-0.100331528539,-0.0817997624452,0.0,492.72721210991506,490.71278130792507,493.64346796123806,492.47859643993473
0.9000000000000005,0.0376857168995,-0.0259010360121,12.728345245,6.24064594035,6.24873643415,0.0,0.149720330382,-0.136962831661,1.89548732634,-0.0587991430871,-0.0630550020385,0.0,412.9740199131432,414.6190578604462,410.4542322057913,414.1165883150001
0.9600000000000005,0.0473811664974,-0.0349938480844,12.8446587927,6.23705943176,6.24481813596,0.0,0.173840263192,-0.166479621364,1.98145167373,-0.061801370347,-0.0702317664929,0.0,436.65876972388634,436.0564377502816,436.4075135675881,436.1542644283461
1.0200000000000005,0.0587053473022,-0.0460526430583,12.9687218685,6.2330541199,6.24135511404,0.0,0.204043924677,-0.202563612195,2.15363168688,-0.0791712533403,-0.0402081969171,0.0,461.3660505541039,463.7278625892559,464.9911475631086,463.6252564713159
1.0800000000000005,0.071731210383,-0.059151675708,13.0987908491,6.2284829081,6.23917175999,0.0,0.230357421373,-0.234493432199,2.18190961887,-0.0708047122592,-0.029677171076,0.0,417.55300984736107,418.4699603715109,418.9851816074079,419.70692172298067
1.1400000000000006,0.0864248704782,-0.0743123105558,13.2316895762,6.22473707715,6.23710749012,0.0,0.259608477437,-0.271238077598,2.24788225803,-0.0494788471186,-0.0461059051249,0.0,431.753800703924,430.36494160033675,430.56211444498007,432.35938677222725
1.2000000000000006,0.103163689831,-0.0920593560454,13.3738267293,6.22131714921,6.23478860977,0.0,0.298636386829,-0.320684237778,2.4894782516,-0.0795813989716,-0.0268313788481,0.0,484.5320185724919,485.97815573390164,486.14748564853124,483.8845270038437
1.2600000000000007,0.122240143933,-0.112793034644,13.5292852795,6.21705569212,6.23281078051,0.0,0.337426182988,-0.370934579723,2.69195996273,-0.0578525235823,-0.0495124683105,0.0,474.7215148814411,472.9775250509519,475.05491488119384,476.7144089179875
